id,category,question,expected_status,tags
sem_0001,semantic_having_lte,teams with at most 2 wins against Richmond,plan,"having,lte"
sem_0002,semantic_having_lte,teams with at most 2 losses against Richmond,plan,"having,lte"
sem_0003,semantic_having_lte,teams with at most 2 draws against Richmond,plan,"having,lte"
sem_0004,semantic_having_lte,teams with at most 3 wins against Richmond,plan,"having,lte"
sem_0005,semantic_having_lte,teams with at most 3 losses against Richmond,plan,"having,lte"
sem_0006,semantic_having_lte,teams with at most 3 draws against Richmond,plan,"having,lte"
sem_0007,semantic_having_lte,teams with at most 5 wins against Richmond,plan,"having,lte"
sem_0008,semantic_having_lte,teams with at most 5 losses against Richmond,plan,"having,lte"
sem_0009,semantic_having_lte,teams with at most 5 draws against Richmond,plan,"having,lte"
sem_0010,semantic_having_lte,teams with at most 10 wins against Richmond,plan,"having,lte"
sem_0011,semantic_having_lte,teams with at most 10 losses against Richmond,plan,"having,lte"
sem_0012,semantic_having_lte,teams with at most 10 draws against Richmond,plan,"having,lte"
sem_0013,semantic_having_lte,teams with at most 2 wins against Carlton,plan,"having,lte"
sem_0014,semantic_having_lte,teams with at most 2 losses against Carlton,plan,"having,lte"
sem_0015,semantic_having_lte,teams with at most 2 draws against Carlton,plan,"having,lte"
sem_0016,semantic_having_lte,teams with at most 3 wins against Carlton,plan,"having,lte"
sem_0017,semantic_having_lte,teams with at most 3 losses against Carlton,plan,"having,lte"
sem_0018,semantic_having_lte,teams with at most 3 draws against Carlton,plan,"having,lte"
sem_0019,semantic_having_lte,teams with at most 5 wins against Carlton,plan,"having,lte"
sem_0020,semantic_having_lte,teams with at most 5 losses against Carlton,plan,"having,lte"
sem_0021,semantic_having_lte,teams with at most 5 draws against Carlton,plan,"having,lte"
sem_0022,semantic_having_lte,teams with at most 10 wins against Carlton,plan,"having,lte"
sem_0023,semantic_having_lte,teams with at most 10 losses against Carlton,plan,"having,lte"
sem_0024,semantic_having_lte,teams with at most 10 draws against Carlton,plan,"having,lte"
sem_0025,semantic_having_lte,teams with at most 2 wins against Collingwood,plan,"having,lte"
sem_0026,semantic_having_lte,teams with at most 2 losses against Collingwood,plan,"having,lte"
sem_0027,semantic_having_lte,teams with at most 2 draws against Collingwood,plan,"having,lte"
